"Fecha","Hora","RadSol.W.m2","TempAire.C","HumRel.porc","VelViento.m.s","Precipitacion.mm"
2016-02-12,6,4.5,16.05,96.5,0,0
2016-02-12,7,93.5,17.25,93.5,0,0
2016-02-12,8,356.5,20.2,85,1.55,0
2016-02-12,9,519.5,22.3,73.5,1.55,0
2016-02-12,10,630.5,24.55,61.5,0.85,0
2016-02-12,11,782.5,25.6,59,1.75,0
2016-02-12,12,994,27.75,50.5,1.55,0
2016-02-12,13,1023.5,29.1,43.5,2,0
2016-02-12,14,846.5,29.65,38.5,1.8,0
2016-02-12,15,500,27.75,48.5,4.45,0
2016-02-12,16,354,26.25,57.5,5.6,0
2016-02-12,17,179.5,24,67,4.7,0
2016-02-12,18,9,21.95,74,3.8,0
2016-02-12,19,0,21.6,76,1.1,0
2016-02-12,20,0,20.95,79,0.65,0
2016-02-12,21,0,20.35,83,0.2,0
2016-02-12,22,0,19.75,85.5,0,0
2016-02-12,23,0,19.3,89,0.65,0
2016-02-13,0,0,18.4,92.5,0,2.6
2016-02-13,1,0,18,95,0,0
2016-02-13,2,0,17.85,96.5,0,0
2016-02-13,3,0,17.6,97,0,0.4
2016-02-13,4,0,17.45,97,0,0
2016-02-13,5,0,17.25,97,0,0
2016-02-13,6,2.5,16.95,97,0,0.2
2016-02-13,7,61.5,17.45,97.5,0,0
2016-02-13,8,242,18.9,94.5,0.2,0
2016-02-13,9,592,21.55,81.5,0.65,0
2016-02-13,10,419,22.75,75,0.9,0
2016-02-13,11,686,24.65,65,1.1,0
2016-02-13,12,795.5,26.05,60,2,0
2016-02-13,13,875,28.65,51,2.65,0
2016-02-13,14,816.5,28.8,45,2.9,0
2016-02-13,15,649,28.1,52,4,0
2016-02-13,16,341.5,25.6,63,5.35,0
2016-02-13,17,153.5,23.65,67.5,3.6,0
2016-02-13,18,3,21.2,74.5,0.85,0
2016-02-13,19,0,20.05,79.5,0,0
2016-02-13,20,0,20.35,81.5,0.4,0
2016-02-13,21,0,20.15,85,0.4,0
2016-02-13,22,0,19.8,87,0.65,0
2016-02-13,23,0,19.45,88,0,0
2016-02-14,0,0,19.15,89.5,0,0
2016-02-14,1,0,18.5,91.5,0,0
2016-02-14,2,0,17.95,95,0,0
2016-02-14,3,0,17.5,95.5,0,0
2016-02-14,4,0,17.15,96,0,0
2016-02-14,5,0,16.85,96.5,0,0
2016-02-14,6,2,16.85,96.5,0.2,0
2016-02-14,7,59.5,17.65,96,0,0
2016-02-14,8,382,20.55,86,0.65,0
2016-02-14,9,314,20.95,84.5,1.1,0
2016-02-14,10,411,23.15,74,0.9,0
2016-02-14,11,744,25.95,63,1.1,0
2016-02-14,12,669,26.85,56.5,1.55,0
2016-02-14,13,488.5,26.95,55.5,2,0
2016-02-14,14,554,27.7,51,2.7,0
2016-02-14,15,269.5,27,56,2.9,0
2016-02-14,16,375.5,26.35,61.5,4,0
2016-02-14,17,165.5,24.5,63,4.5,0
2016-02-14,18,21.5,22.55,68.5,4.5,0
